sentence,start_index,stop_index
Course rapide de Clermont-Ferrand à Rennes.,"(17, 33)","(36, 42)"
Je veux aller de Angers à Avignon.,"(17, 23)","(26, 33)"
Je planifie un trajet de Nanterre à Poitiers.,"(25, 33)","(36, 44)"
Escapade de Argenteuil à Rouen.,"(12, 22)","(25, 30)"
Mon itinéraire est de Saint-Étienne à Toulon.,"(22, 35)","(38, 44)"
Course rapide de Clermont-Ferrand à Créteil.,"(17, 33)","(36, 43)"
Je dois effectuer le trajet de Angers à Dijon.,"(31, 37)","(40, 45)"
Mon itinéraire est de Rennes à Argenteuil.,"(22, 28)","(31, 41)"
Je dois me déplacer de Créteil à Avignon.,"(23, 30)","(33, 40)"
Je dois effectuer le trajet de Besançon à Brest.,"(31, 39)","(42, 47)"
Je m'apprête à partir de Poitiers à Rouen.,"(25, 33)","(36, 41)"
Je pars de Angers pour arriver à Dijon.,"(11, 17)","(33, 38)"
Je dois me déplacer de Montpellier à Toulon.,"(23, 34)","(37, 43)"
Mon intention est de voyager de Marseille à Roubaix.,"(32, 41)","(44, 51)"
Mon départ est prévu de Caen à destination de Vitry-sur-Seine.,"(24, 28)","(46, 61)"
Je souhaite me rendre de Marseille à Nîmes.,"(25, 34)","(37, 42)"
J'envisage un déplacement de Nantes à Rouen.,"(29, 35)","(38, 43)"
Je suis en route de Dunkerque vers Tourcoing.,"(20, 29)","(35, 44)"
Départ de Dunkerque pour un voyage direct à Villeurbanne.,"(10, 19)","(44, 56)"
Je pars de Nîmes pour arriver à Paris.,"(11, 16)","(32, 37)"
Je dois me déplacer de Toulouse à Saint-Étienne.,"(23, 31)","(34, 47)"
Je veux aller de Orléans à Amiens.,"(17, 24)","(27, 33)"
Je projette de quitter Le Mans pour Argenteuil.,"(23, 30)","(36, 46)"
Escapade de Rouen à Annecy.,"(12, 17)","(20, 26)"
Randonnée de Mulhouse jusqu'à Orléans.,"(13, 21)","(30, 37)"
Voyage sans escale de Rouen à Annecy.,"(22, 27)","(30, 36)"
